device_id,id,vehicle_event_type_id,vehicle_id,data,date_created
"1","1800118","250","1380","1","'2025-06-02T03:26:03+00:00'"
"1","1785881","250","1380","0","'2025-05-31T19:44:04+00:00'"
"1","1767060","250","1380","1","'2025-05-31T19:09:55+00:00'"
"1","1759000","250","1380","0","'2025-05-31T18:23:47+00:00'"
"1","1749025","250","1380","1","'2025-05-31T17:36:16+00:00'"
"1","1748953","250","1380","0","'2025-05-31T17:29:56+00:00'"
"1","1748506","250","1380","1","'2025-05-31T17:27:41+00:00'"
"1","1748486","250","1380","0","'2025-05-31T17:26:29+00:00'"
"1","1735757","250","1380","1","'2025-05-31T17:00:19+00:00'"
"1","1735753","250","1380","0","'2025-05-31T16:59:59+00:00'"
"1","1735661","250","1380","1","'2025-05-31T16:58:33.01+00:00'"
"1","1723798","250","1380","0","'2025-05-30T18:33:46+00:00'"
"1","1723654","250","1380","1","'2025-05-30T18:31:37+00:00'"
"1","1723597","250","1380","0","'2025-05-30T18:21:58+00:00'"
"1","1722133","250","1380","1","'2025-05-30T18:09:19+00:00'"
"1","1722127","250","1380","0","'2025-05-30T18:07:30+00:00'"
"1","1720876","250","1380","1","'2025-05-30T17:57:45.01+00:00'"
"1","1720825","250","1380","0","'2025-05-30T17:46:26+00:00'"
"1","1719641","250","1380","1","'2025-05-30T17:35:27.01+00:00'"
"1","1719618","250","1380","0","'2025-05-30T17:33:46+00:00'"
"1","1716537","250","1380","1","'2025-05-30T17:01:05+00:00'"
"1","1716322","250","1380","0","'2025-05-30T16:28:34.01+00:00'"
"1","1716055","250","1380","1","'2025-05-30T16:25:51+00:00'"
"1","1716044","250","1380","0","'2025-05-30T16:24:08+00:00'"
"1","1713859","250","1380","1","'2025-05-30T16:00:11+00:00'"
"1","1713708","250","1380","0","'2025-05-30T14:47:42.01+00:00'"
"1","1711819","250","1380","1","'2025-05-30T14:31:50.01+00:00'"
"1","1711786","250","1380","0","'2025-05-30T14:31:26+00:00'"
"1","1709987","250","1380","1","'2025-05-30T14:15:05+00:00'"
"1","1705958","250","1380","0","'2025-05-30T01:44:24.01+00:00'"
