device_id,vehicle_id,start_time,end_time,start_x,start_y,start_loc_time,end_x,end_y,end_loc_time
1,1380,2025-05-08 00:31:30.000,2025-05-08 00:44:15.000,-1140102483,508591483,2025-05-08 00:31:30+00:00,-1140674450,509021916,2025-05-08 00:44:15+00:00
1,1380,2025-05-08 00:55:48.000,2025-05-08 01:06:07.000,-1140673583,509021699,2025-05-08 00:55:48+00:00,-1140102166,508591116,2025-05-08 01:06:07+00:00
1,1380,2025-05-08 02:03:30.010,2025-05-08 02:21:39.000,-1140101233,508591016,2025-05-08 02:03:30.010000+00:00,-1141278866,509446300,2025-05-08 02:21:39+00:00
1,1380,2025-05-08 02:27:57.010,2025-05-08 02:29:56.010,-1141278266,509445433,2025-05-08 02:27:57.010000+00:00,-1141283733,509446566,2025-05-08 02:29:56.010000+00:00
1,1380,2025-05-08 13:51:49.000,2025-05-08 14:19:32.010,-1141283799,509446350,2025-05-08 13:51:49+00:00,-1141400783,510382683,2025-05-08 14:19:32.010000+00:00
1,1380,2025-05-08 14:45:09.000,2025-05-08 15:09:30.000,-1141402000,510382849,2025-05-08 14:45:09+00:00,-1140002783,510600549,2025-05-08 15:09:30+00:00
1,1380,2025-05-08 15:16:45.010,2025-05-08 15:38:23.000,-1140002249,510599799,2025-05-08 15:16:45.010000+00:00,-1140446083,509898600,2025-05-08 15:38:23+00:00
1,1380,2025-05-08 15:39:57.010,2025-05-08 15:51:58.010,-1140447000,509899016,2025-05-08 15:39:57.010000+00:00,-1140020700,509503083,2025-05-08 15:51:58.010000+00:00
1,1380,2025-05-08 16:00:09.020,2025-05-08 16:01:23.000,-1140020233,509504516,2025-05-08 16:00:09.020000+00:00,-1140020533,509504983,2025-05-08 16:01:23+00:00
1,1380,2025-05-08 16:06:49.000,2025-05-08 16:14:47.000,-1140020499,509504633,2025-05-08 16:06:49+00:00,-1139735066,509403166,2025-05-08 16:14:47+00:00
1,1380,2025-05-08 17:10:54.010,2025-05-08 17:32:01.000,-1139734016,509403900,2025-05-08 17:10:54.010000+00:00,-1141283383,509446499,2025-05-08 17:32:01+00:00
1,1380,2025-05-09 00:16:58.000,2025-05-09 00:18:03.010,-1141283433,509446350,2025-05-09 00:16:58+00:00,-1141283433,509446166,2025-05-09 00:18:03.010000+00:00
1,1380,2025-05-09 14:09:24.010,2025-05-09 14:14:27.000,-1141283966,509447033,2025-05-09 14:09:24.010000+00:00,-1141210366,509409066,2025-05-09 14:14:27+00:00
